"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"GRU - Attn_RoPE","test","ent",0.142486399374284,0.0367212169345601,126.935725105342,3.88021997278046,0.00309691304612869,0.0324631299922634,0.252509668756305
"GRU - Attn_AbsPE_H80","test","ent",0.218413441179194,0.0367212169345601,126.935724101508,5.94788134522947,5.12744292691103e-07,0.108390171783149,0.32843671057524
"GRU - Attn_RoPE_H80","test","ent",0.170406409901316,0.0367212169345601,126.935724279778,4.64054364551678,0.000170296628988043,0.060383140507764,0.280429679294868
"LSTM - Attn_AbsPE","test","ent",0.156493379541026,0.03672121693456,126.935723367352,4.26166103971742,0.000760766990048123,0.0464701101347151,0.266516648947336
"LSTM - Attn_RoPE","test","ent",0.196798894157171,0.0367212169345601,126.935725271552,5.35926939752246,7.81431434304647e-06,0.0867756247774636,0.306822163536879
"LSTM - Attn_AbsPE_H80","test","ent",0.272725935962082,0.0367212169345602,126.935724116423,7.42693076997145,2.99388069890938e-10,0.162702666566234,0.382749205357929
"LSTM - Attn_RoPE_H80","test","ent",0.224718904684203,0.0367212169345601,126.935724381657,6.11959307025878,2.24955300831553e-07,0.11469563529207,0.334742174076336
"Attn_AbsPE - Attn_RoPE","test","ent",0.0403055146161455,0.0367212169345599,126.935724468349,1.09760835780506,0.92777822885855,-0.0697177547747745,0.150328784007066
"Attn_AbsPE - Attn_AbsPE_H80","test","ent",0.116232556421056,0.03672121693456,126.935724617808,3.16526973025407,0.0310978192641638,0.0062092870322013,0.22625582580991
"Attn_AbsPE - Attn_RoPE_H80","test","ent",0.0682255251431773,0.0367212169345601,126.935724059175,1.85793203054137,0.511927824011562,-0.0417977442534683,0.178248794539823
"Attn_RoPE - Attn_AbsPE_H80","test","ent",0.0759270418049102,0.03672121693456,126.93572534026,2.06766137244901,0.378254056680155,-0.034096227573846,0.185950311183666
"Attn_RoPE - Attn_RoPE_H80","test","ent",0.0279200105270317,0.0367212169345601,126.935725128109,0.760323672736316,0.988189615229234,-0.082103258854695,0.137943279908759
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","ent",-0.0480070312778784,0.0367212169345601,126.935725243204,-1.30733769971269,0.847396273067383,-0.15803030065798,0.0620162381022234
