"contrast","train_or_test","entity","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL"
"GRU - Attn_AbsPE","test","noent",0.0216377166666749,0.0368903078207724,79.1606656820817,0.586542047081836,0.997039291893353,-0.0899726481131001,0.13324808144645
"GRU - Attn_RoPE","test","noent",0.0722437499999878,0.0368903078207724,79.1606656825276,1.95833958206519,0.449033106586894,-0.0393666147797812,0.183854114779757
"GRU - Attn_AbsPE_H80","test","noent",0.0942748499999757,0.0368903078207724,79.1606656828139,2.55554522499514,0.154185072239506,-0.0173355147797776,0.205885214779729
"GRU - Attn_RoPE_H80","test","noent",0.0819478166666614,0.0368903078207724,79.1606656996915,2.22139151196016,0.29612794542059,-0.0296625481124786,0.193558181445802
"LSTM - Attn_AbsPE","test","noent",-0.0238479499999867,0.0368903078207724,79.160665681335,-0.646455706356514,0.994948798893585,-0.135458314779793,0.0877624147798195
"LSTM - Attn_RoPE","test","noent",0.0267580833333262,0.0368903078207724,79.1606656818851,0.725341828626844,0.99061855299709,-0.0848522814464669,0.138368448113119
"LSTM - Attn_AbsPE_H80","test","noent",0.0487891833333141,0.0368903078207724,79.1606656820187,1.32254747155679,0.839383425651216,-0.062821181446472,0.1603995481131
"LSTM - Attn_RoPE_H80","test","noent",0.0364621499999999,0.0368903078207724,79.1606656998043,0.988393758521814,0.955119710133196,-0.0751482147791385,0.148072514779138
"Attn_AbsPE - Attn_RoPE","test","noent",0.0506060333333129,0.0368903078207724,79.1606656813457,1.37179753498336,0.814976291855295,-0.0610043314464892,0.162216398113115
"Attn_AbsPE - Attn_AbsPE_H80","test","noent",0.0726371333333008,0.0368903078207724,79.1606656816816,1.9690031779133,0.442295692103064,-0.0389732314464967,0.184247498113098
"Attn_AbsPE - Attn_RoPE_H80","test","noent",0.0603100999999865,0.0368903078207724,79.1606656983725,1.63484946487833,0.660450182419792,-0.0513002647791993,0.171920464779172
"Attn_RoPE - Attn_AbsPE_H80","test","noent",0.0220310999999879,0.0368903078207724,79.1606656819259,0.597205642929943,0.996729074252819,-0.0895792647797976,0.133641464779773
"Attn_RoPE - Attn_RoPE_H80","test","noent",0.00970406666667365,0.0368903078207724,79.160665698988,0.263051929894969,0.99997096815546,-0.101906298112489,0.121314431445836
"Attn_AbsPE_H80 - Attn_RoPE_H80","test","noent",-0.0123270333333143,0.0368903078207724,79.1606656986686,-0.334153713034975,0.999881517712286,-0.123937398112487,0.0992833314458581
"SRN - GRU","train","ent",0.0121788833333408,0.0368903078207724,79.1606656886169,0.330137753051848,0.999889607349469,-0.0994314814462049,0.123789248112887
"SRN - LSTM","train","ent",0.0217897666666804,0.0368903078207724,79.1606656879318,0.590663725890921,0.996922273672047,-0.0898205981128904,0.133400131446251
"SRN - Attn_AbsPE","train","ent",-0.0142529666666508,0.0368903078207724,79.1606656874549,-0.386360741035213,0.99972408974391,-0.125863331446248,0.0973573981129461
